= World Cup 1930    # 13 Teams

== Argentina (ARG)   # 22 players

   -  GK  Ángel Bossio                       ##    -, Talleres 
   -  GK  Juan Botasso                       ##    -, Argentino de Quilmes 

   -  DF  Rodolfo Orlandini                  ##    -, Estudiantil Porteño 
   -  DF  Alberto Chividini                  ##    -, Estudiantil Porteño 
   -  DF  Adolfo Zumelzú                     ##    -, Estudiantil Porteño 
   -  DF  José Della Torre                   ##    -, Racing 
   -  DF  Juan Evaristo                      ##    -, Sportivo Barracas 
   -  DF  Edmundo Piaggio                    ##    -, Lanús 
   -  DF  Ramón Muttis                       ##    -, Boca Juniors 
   -  DF  Fernando Paternoster               ##    -, Racing 

   -  MF  Luis Monti                         ##    -, San Lorenzo 
   -  MF  Pedro Suárez                       ##    -, Boca Juniors 

   -  FW  Alejandro Scopelli                 ##    -, Estudiantes de La Plata 
   -  FW  Natalio Perinetti                  ##    -, Racing 
   -  FW  Carlos Peucelle                    ##    -, Sportivo Buenos Aires 
   -  FW  Mario Evaristo                     ##    -, Boca Juniors 
   -  FW  Manuel Ferreira                    ##    -, Estudiantes de La Plata 
   -  FW  Carlos Spadaro                     ##    -, Lanús 
   -  FW  Guillermo Stábile                  ##    -, Huracán 
   -  FW  Roberto Cherro                     ##    -, Boca Juniors 
   -  FW  Francisco Varallo                  ##    -, Gimnasia y Esgrima La Plata 
   -  FW  Attilio Demaría                    ##    -, Gimnasia de La Plata 


== Belgium (BEL)   # 16 players

   -  GK  Arnold Badjou                      ##    3, Daring Club de Bruxelles Societe Royale 
   -  GK  Jean De Bie                        ##   37, Royal Racing Club de Bruxelles 

   -  DF  Theodore Nouwens                   ##   10, RC de Malines Societe Royale 
   -  DF  Nic Hoydonckx                      ##   19, FC Excelsior Hasselt 
   -  DF  Henri De Deken                     ##    0, Royal Antwerp FC 

   -  MF  Jean De Clercq                     ##    5, Royal Antwerp FC 
   -  MF  Pierre Braine                      ##   42, Royal Beerschot AC 
   -  MF  Alexis Chantraine                  ##    0, Royal FC Liegeois 
   -  MF  August Hellemans                   ##    4, Royal FC Malinois 

   -  FW  Jan Diddens                        ##   21, RC de Malines Societe Royale 
   -  FW  Gérard Delbeke                     ##    0, Royal FC Brugeois 
   -  FW  Jacques Moeschal                   ##   15, Royal Racing Club de Bruxelles 
   -  FW  Ferdinand Adams                    ##   21, SC Anderlechtois 
   -  FW  André Saeys                        ##    0, Royal CS Brugeois 
   -  FW  Louis Versyp                       ##    7, Royal FC Brugeois 
   -  FW  Bernard Voorhoof                   ##    6, Liersche Sportkring 


== Bolivia (BOL)   # 17 players

   -  GK  Miguel Murillo                     ##    0, Club Bolívar 
   -  GK  Jesús Bermúdez                     ##    6, Oruro Royal 

   -  DF  Luis Reyes Peñaranda               ##    0, Universitario La Paz 
   -  DF  Segundo Durandal                   ##    0, CS San Jose Oruro 
   -  DF  Casiano Chavarría                  ##    6, Calavera La Paz 

   -  MF  Renato Sáinz                       ##    -, The Strongest 
   -  MF  Miguel Brito                       ##    0, Oruro Royal 
   -  MF  Juan Argote                        ##    0, Club Bolívar 
   -  MF  Constantino Noya                   ##    0, Oruro Royal 
   -  MF  Diógenes Lara                      ##    7, Club Bolívar 
   -  MF  Jorge Valderrama                   ##    5, Oruro Royal 

   -  FW  Gumersindo Gómez                   ##    0, Oruro Royal 
   -  FW  Rafael Méndez                      ##    7, Universitario La Paz 
   -  FW  Eduardo Reyes Ortíz                ##    0, The Strongest 
   -  FW  René Fernández                     ##    0, Alianza Oruro 
   -  FW  José Bustamante                    ##    7, Litoral 
   -  FW  Mario Alborta                      ##    7, Club Bolívar 


== Brazil (BRA)   # 22 players

   -  GK  Velloso                            ##    -, Fluminense 
   -  GK  Joel                               ##    -, América-RJ 

   -  DF  Brilhante                          ##    -, Vasco da Gama 
   -  DF  Zé Luiz                            ##    -, São Cristóvão 
   -  DF  Itália                             ##    -, Vasco da Gama 
   -  DF  Oscarino                           ##    -, Ypiranga Niterói 

   -  MF  Fernando                           ##    -, Fluminense 
   -  MF  Hermógenes                         ##    -, America-RJ 
   -  MF  Fausto                             ##    -, Vasco da Gama 
   -  MF  Ivan Mariz                         ##    -, Fluminense 
   -  MF  Pamplona                           ##    -, Botafogo 
   -  MF  Fortes                             ##    -, Fluminense 

   -  FW  Manoelzinho                        ##    -, Ypiranga Niterói 
   -  FW  Nilo                               ##    -, Botafogo 
   -  FW  Moderato                           ##    -, Flamengo 
   -  FW  Carvalho Leite                     ##    -, Botafogo 
