= World Cup 1950    # 13 Teams

== Bolivia (BOL)   # 22 players

   -  GK  Vicente Arraya                     ##   26, Ferroviario La Paz 
   -  GK  Eduardo Gutiérrez                  ##   12, CD Ingavi 

   -  DF  José Bustamante                    ##   31, Club Litoral 
   -  DF  Alberto Figueroa de Acha           ##   23, The Strongest 
   -  DF  Antonio Greco                      ##    0, Club Litoral 

   -  MF  Juan Arricio                       ##    0, Ayacucho La Paz 
   -  MF  Duberty Aráoz                      ##   10, Club Litoral 
   -  MF  Alberto Aparicio                   ##    0, Ferroviario La Paz 
   -  MF  René Cabrera                       ##    8, Club Jorge Wilstermann 
   -  MF  Eulogio Sandoval                   ##    0, Club Litoral 
   -  MF  Leonardo Ferrel                    ##   18, The Strongest 
   -  MF  Humberto Saavedra                  ##    0, The Strongest 
   -  MF  Antonio Valencia                   ##    9, Club Bolívar 

   -  FW  Juan Guerra                        ##    9, Ferroviario La Paz 
   -  FW  Benigno Gutiérrez                  ##   15, Club Litoral 
   -  FW  Roberto Capparelli                 ##    0, The Strongest 
   -  FW  Benjamin Maldonado                 ##    4, San Jose de Oruro 
   -  FW  Mario Mena                         ##    9, Club Bolívar 
   -  FW  Víctor Brown                       ##    2, Club Litoral 
   -  FW  Víctor Celestino Algarañaz         ##    8, Club Litoral 
   -  FW  Víctor Agustín Ugarte              ##   16, Club Bolívar 
   -  FW  Benedicto Godoy Véizaga            ##    9, Ferroviario La Paz 


== Brazil (BRA)   # 22 players

   -  GK  Barbosa                            ##   13, Vasco da Gama 
   -  GK  Castilho                           ##    2, Fluminense 

   -  DF  Nílton Santos                      ##    5, Botafogo 
   -  DF  Ely                                ##    8, Vasco da Gama 
   -  DF  Juvenal                            ##    4, Flamengo 
   -  DF  Augusto                            ##   12, Vasco da Gama 
   -  DF  Nena                               ##    5, Internacional 

   -  MF  Noronha                            ##   15, São Paulo 
   -  MF  Danilo                             ##   15, Vasco da Gama 
   -  MF  Bauer                              ##    6, São Paulo 
   -  MF  Bigode                             ##    5, Flamengo 
   -  MF  Rui                                ##   27, São Paulo 

   -  FW  Alfredo                            ##    0, Vasco da Gama 
   -  FW  Baltazar                           ##    4, Corinthians 
   -  FW  Chico                              ##   15, Vasco da Gama 
   -  FW  Jair                               ##   32, Palmeiras 
   -  FW  Ademir                             ##   25, Vasco da Gama 
   -  FW  Maneca                             ##    3, Vasco da Gama 
   -  FW  Zizinho                            ##   30, Bangu 
   -  FW  Friaça                             ##    6, São Paulo 
   -  FW  Rodrigues                          ##    2, Fluminense 
   -  FW  Adãozinho                          ##    2, Internacional 


== Switzerland (SUI)   # 22 players

   -  GK  Adolphe Hug                        ##    -, Urania Genf 
   -  GK  Georges Stuber                     ##    -, Lausanne-Sport 
   -  GK  Eugen Corrodi                      ##    -, FC Lugano 

   -  DF  Roger Bocquet                      ##    -, Lausanne-Sport 
   -  DF  Kurt Rey                           ##    -, SC Young Fellows 
   -  DF  Willi Steffen                      ##    -, Cantonal Neuchâtel 
   -  DF  André Neury                        ##    -, FC Locarno 
