= World Cup 1954    # 16 Teams

== Austria (AUT)   # 22 players

 (1)  GK  Kurt Schmied                       ##    1, First Vienna FC 
(15)  GK  Franz Pelikan                      ##    3, Wacker Wien 
(16)  GK  Walter Zeman                       ##   38, Rapid Wien 

 (2)  DF  Gerhard Hanappi                    ##   37, Rapid Wien 
 (4)  DF  Leopold Barschandt                 ##    2, Wiener Sportclub 
 (5)  DF  Ernst Ocwirk                       ##   44, Austria Wien 
(20)  DF  Paul Halla                         ##    3, Rapid Wien 

 (3)  MF  Ernst Happel                       ##   39, Rapid Wien 
 (6)  MF  Karl Koller                        ##    7, First Vienna FC 
(10)  MF  Erich Probst                       ##    8, Rapid Wien 
(12)  MF  Karl Stotz                         ##   10, Austria Wien 
(13)  MF  Walter Kollmann                    ##    3, Wacker Wien 
(14)  MF  Karl Giesser                       ##    1, Rapid Wien 
(17)  MF  Alfred Teinitzer                   ##    0, Linzer ASK 
(18)  MF  Johann Riegler                     ##    3, Rapid Wien 

 (7)  FW  Robert Körner                      ##    -, Rapid Wien 
 (8)  FW  Walter Schleger                    ##    8, Austria Wien 
 (9)  FW  Theodor Wagner                     ##   28, Wacker Wien 
(11)  FW  Alfred Körner                      ##    -, Rapid Wien 
(19)  FW  Robert Dienst                      ##   16, Rapid Wien 
(21)  FW  Ernst Stojaspal                    ##   27, Austria Wien 
(22)  FW  Walter Haummer                     ##    4, Wacker Wien 


== Belgium (BEL)   # 22 players

 (1)  GK  Léopold Gernaey                    ##    7, A.S.V. Oostende K.M. 
(12)  GK  Charles Geerts                     ##    0, Royal Beerschot AC 
(17)  GK  Raymond Ausloos                    ##    0, White Star 

 (2)  DF  Marcel Dries                       ##    7, Berchem Sport 
 (3)  DF  Alfons Van Brandt                  ##   18, Lierse 
 (4)  DF  Constant Huysmans                  ##    5, Royal Beerschot AC 
(13)  DF  Henri Dirickx                      ##   13, Union St. Gilloise 
(18)  DF  Jef Van Der Linden                 ##    0, Royal Antwerp FC 

 (5)  MF  Louis Carré                        ##   39, Royal FC Liegeois 
 (6)  MF  Victor Mees                        ##   31, Royal Antwerp FC 
 (7)  MF  Jozef Vliers                       ##    0, Royal Beerschot AC 
(14)  MF  Robert Van Kerkhoven               ##    5, Daring Club 
(19)  MF  Jo Backaert                        ##    0, Charleroi SC 
(20)  MF  Robert Maertens                    ##   11, Royal Antwerp FC 
(21)  MF  Jean Van Steen                     ##    5, RSC Anderlechtois 

 (8)  FW  Denis Houf                         ##    0, Standard Liège 
 (9)  FW  Henri Coppens                      ##   32, Royal Beerschot AC 
(10)  FW  Léopold Anoul                      ##   45, Royal FC Liegeois 
(11)  FW  Joseph Mermans                     ##   45, RSC Anderlechtois 
(15)  FW  Hippolyte Van Den Bosch            ##    2, RSC Anderlechtois 
(16)  FW  Pieter Van Den Bosch               ##    0, RSC Anderlechtois 
(22)  FW  Luc Van Hoyweghen                  ##    0, Daring Club 


== Brazil (BRA)   # 22 players

 (1)  GK  Castilho                           ##   13, Fluminense 
(21)  GK  Veludo                             ##    3, Fluminense 
(22)  GK  Cabeção                            ##    -, Corinthians 

 (2)  DF  Djalma Santos                      ##   14, Portuguesa 
 (3)  DF  Nílton Santos                      ##   18, Botafogo 
 (4)  DF  Brandãozinho                       ##   12, Portuguesa 
(12)  DF  Paulinho                           ##    -, Vasco da Gama 
(13)  DF  Alfredo                            ##    -, São Paulo FC 
(15)  DF  Mauro                              ##    4, São Paulo FC 

 (5)  MF  Pinheiro                           ##   13, Fluminense 
 (6)  MF  Bauer                              ##   21, São Paulo FC 
 (8)  MF  Didi                               ##   13, Fluminense 
(14)  MF  Ely                                ##   15, Vasco da Gama 
(16)  MF  Dequinha                           ##    7, Flamengo 

 (7)  FW  Julinho                            ##   13, Portuguesa 
 (9)  FW  Baltazar                           ##   19, Corinthians 
(10)  FW  Pinga                              ##   14, Vasco da Gama 
(11)  FW  Rodrigues                          ##   14, Palmeiras 
(17)  FW  Maurinho                           ##    0, São Paulo FC 
(18)  FW  Humberto                           ##    3, Palmeiras 
(19)  FW  Índio                              ##    0, Flamengo 
(20)  FW  Rubens                             ##    1, Flamengo 


== Switzerland (SUI)   # 22 players

 (1)  GK  Walter Eich                        ##    -, Young Boys Bern 
 (2)  GK  Eugene Parlier                     ##    -, Servette FC 
 (3)  GK  Georges Stuber                     ##    -, Lausanne Sports 

 (5)  DF  Marcel Flückiger                   ##    -, Young Boys Bern 
 (6)  DF  Roger Mathis                       ##    -, Lausanne Sports 
 (7)  DF  André Neury                        ##    -, Servette FC 
