= World Cup 1962    # 16 Teams

== Argentina (ARG)   # 22 players

 (1)  GK  Antonio Roma                       ##    -, Boca Juniors 
(12)  GK  Rogelio Domínguez                  ##    -, River Plate 

 (2)  DF  José Ramos Delgado                 ##    -, River Plate 
 (3)  DF  Silvio Marzolini                   ##    -, Boca Juniors 
 (4)  DF  Alberto Sainz                      ##    -, River Plate 
 (6)  DF  Raúl Páez                          ##    -, San Lorenzo 
(14)  DF  Alberto Mariotti                   ##    -, San Lorenzo 
(15)  DF  Rubén Navarro                      ##    -, Independiente 
(17)  DF  Rafael Albrecht                    ##    -, Estudiantes de La Plata 
(18)  DF  Vladislao Cap                      ##    -, River Plate 

 (5)  MF  Federico Sacchi                    ##    -, Racing 
(13)  MF  Oscar Rossi                        ##    -, San Lorenzo 
(16)  MF  Antonio Rattín                     ##    -, Boca Juniors 
(21)  MF  Ramón Abeledo                      ##    -, Independiente 

 (7)  FW  Héctor Facundo                     ##    -, San Lorenzo 
 (8)  FW  Martín Pando                       ##    -, River Plate 
 (9)  FW  Marcelo Pagani                     ##    -, River Plate 
(10)  FW  José Sanfilippo                    ##    -, San Lorenzo 
(11)  FW  Raúl Belén                         ##    -, Racing 
(19)  FW  Rubén Sosa                         ##    -, Racing 
(20)  FW  Juan Carlos Oleniak                ##    -, Argentinos Juniors 
(22)  FW  Alberto González                   ##    -, Boca Juniors 


== Bulgaria (BUL)   # 22 players

 (1)  GK  Georgi Naydenov                    ##   34, CDNA Sofia 
(18)  GK  Ivan Ivanov                        ##    0, Cherno More Varna 
(20)  GK  Nikola Parshanov                   ##    2, Spartak Pleven 

 (2)  DF  Kiril Rakarov                      ##   50, CDNA Sofia 
 (3)  DF  Ivan Dimitrov                      ##   28, Lokomotiv Sofia 
 (5)  DF  Dimitar Kostov                     ##    2, Levski Sofia 
 (8)  DF  Dimitar Dimov                      ##    5, Spartak Plovdiv 
(12)  DF  Dobromir Zhechev                   ##    3, Spartak Sofia 

 (4)  MF  Stoyan Kitov                       ##    5, Spartak Sofia 
 (6)  MF  Nikola Kovachev                    ##   34, CDNA Sofia 
 (7)  MF  Todor Diev                         ##   37, Spartak Plovdiv 
(16)  MF  Aleksandar Kostov                  ##    1, Levski Sofia 
(17)  MF  Panteley Dimitrov                  ##    0, CDNA Sofia 

 (9)  FW  Hristo Iliev                       ##   16, Levski Sofia 
(10)  FW  Ivan Kolev                         ##   54, CDNA Sofia 
(11)  FW  Dimitar Yakimov                    ##   18, CDNA Sofia 
(13)  FW  Petar Velichkov                    ##    4, Lokomotiv Sofia 
(14)  FW  Georgi Sokolov                     ##    6, Levski Sofia 
(15)  FW  Georgi Asparuhov                   ##    1, Botev Plovdiv 
(19)  FW  Dinko Dermendzhiev                 ##    1, Botev Plovdiv 
(21)  FW  Panayot Panayotov                  ##   39, CDNA 
(22)  FW  Georgi Dimitrov Nikolov            ##    -, Cherno More Varna 


== Brazil (BRA)   # 22 players

 (1)  GK  Gilmar                             ##    -, Santos 
(22)  GK  Castilho                           ##    -, Fluminense 

 (2)  DF  Djalma Santos                      ##    -, Palmeiras 
 (3)  DF  Mauro                              ##    -, Santos 
 (5)  DF  Zózimo                             ##    -, Bangu 
 (6)  DF  Nílton Santos                      ##    -, Botafogo 
(12)  DF  Jair Marinho                       ##    -, Fluminense 
(13)  DF  Bellini                            ##    -, São Paulo 
(14)  DF  Jurandir                           ##    -, São Paulo 
(15)  DF  Altair                             ##    -, Fluminense 

 (4)  MF  Zito                               ##    -, Santos 
 (8)  MF  Didi                               ##    -, Botafogo 
(16)  MF  Zequinha                           ##    -, Palmeiras 
(17)  MF  Mengálvio                          ##    -, Santos 

 (7)  FW  Garrincha                          ##    -, Botafogo 
 (9)  FW  Coutinho                           ##    -, Santos 
(10)  FW  Pelé                               ##    -, Santos 
(11)  FW  Pepe                               ##    -, Santos 
(18)  FW  Jair da Costa                      ##    -, Portuguesa 
(19)  FW  Vavá                               ##    -, Palmeiras 
(20)  FW  Amarildo                           ##    -, Botafogo 
(21)  FW  Zagallo                            ##    -, Botafogo 


== Switzerland (SUI)   # 22 players

 (1)  GK  Karl Elsener                       ##    -, Grasshopper Club Zürich 
(21)  GK  Antonio Permunian                  ##    -, FC Luzern 
(22)  GK  Kurt Stettler                      ##    -, FC Basel 

 (2)  DF  Ely Tacchella                      ##    -, Lausanne Sports 
 (5)  DF  Fritz Morf                         ##    -, FC Grenchen 
 (6)  DF  Peter Rösch                        ##    -, Servette FC 
 (7)  DF  Heinz Schneiter                    ##    -, Young Boys Bern 
(10)  DF  Fritz Kehl                         ##    -, FC Zurich 
(11)  DF  Eugen Meier                        ##    -, Young Boys Bern 

 (3)  MF  André Grobéty                      ##    -, Lausanne Sports 
 (4)  MF  Willy Kernen                       ##    -, FC La Chaux-de-Fonds 
(13)  MF  Hans Weber                         ##    -, FC Basel 
(14)  MF  Anton Allemann                     ##    -, A.C. Mantova 
(20)  MF  Roger Vonlanthen                   ##    -, Lausanne Sports 

 (8)  FW  Rolf Wüthrich                      ##    -, Servette FC 
 (9)  FW  Roberto Frigerio                   ##    -, FC La Chaux-de-Fonds 
(12)  FW  Marcel Vonlanthen                  ##    -, Lausanne Sports 
(15)  FW  Charles Antenen                    ##    -, FC La Chaux-de-Fonds 
(16)  FW  Richard Dürr                       ##    -, Lausanne Sports 
(17)  FW  Norbert Eschmann                   ##    -, Stade Français Paris 
(18)  FW  Philippe Pottier                   ##    -, Stade Français Paris 
(19)  FW  Gilbert Rey                        ##    -, Lausanne Sports 


== Chile (CHI)   # 22 players

 (1)  GK  Misael Escuti                      ##   31, Colo-Colo 
(12)  GK  Adán Godoy                         ##    0, Santiago Morning 
