= World Cup 1966    # 16 Teams

== Argentina (ARG)   # 22 players

 (1)  GK  Antonio Roma                       ##    -, Boca Juniors 
 (2)  GK  Rolando Irusta                     ##    -, Lanús 
 (3)  GK  Hugo Gatti                         ##    -, River Plate 

 (4)  DF  Roberto Perfumo                    ##    -, Racing Club 
 (7)  DF  Silvio Marzolini                   ##    -, Boca Juniors 
 (8)  DF  Roberto Ferreiro                   ##    -, Independiente 
(13)  DF  Nelson López                       ##    -, Banfield 

 (5)  MF  José Varacka                       ##    -, San Lorenzo 
 (6)  MF  Oscar Calics                       ##    -, San Lorenzo 
 (9)  MF  Carmelo Simeone                    ##    -, Boca Juniors 
(10)  MF  Antonio Rattín                     ##    -, Boca Juniors 
(11)  MF  José Omar Pastoriza                ##    -, Independiente 
(12)  MF  Rafael Albrecht                    ##    -, San Lorenzo 
(15)  MF  Jorge Solari                       ##    -, River Plate 
(17)  MF  Juan Carlos Sarnari                ##    -, River Plate 
(19)  MF  Luis Artime                        ##    -, Independiente 

(14)  FW  Mario Chaldú                       ##    -, San Lorenzo 
(16)  FW  Alberto González                   ##    -, Boca Juniors 
(18)  FW  Alfredo Rojas                      ##    -, Boca Juniors 
(20)  FW  Ermindo Onega                      ##    -, River Plate 
(21)  FW  Oscar Más                          ##    -, River Plate 
(22)  FW  Aníbal Tarabini                    ##    -, Independiente 


== Bulgaria (BUL)   # 22 players

 (1)  GK  Georgi Naydenov                    ##   44, CSKA Sofia 
(21)  GK  Simeon Simeonov                    ##    4, Slavia Sofia 
(22)  GK  Ivan Deyanov                       ##    8, Lokomotiv Sofia 

 (2)  DF  Aleksandar Shalamanov              ##   12, Slavia Sofia 
 (3)  DF  Ivan Vutsov                        ##   18, Levski Sofia 
 (4)  DF  Boris Gaganelov                    ##   20, CSKA Sofia 
 (5)  DF  Dimitar Penev                      ##   16, CSKA Sofia 
(10)  DF  Dobromir Zhechev                   ##   13, Spartak Sofia 
(15)  DF  Dimitar Largov                     ##   17, Slavia Sofia 
(19)  DF  Vidin Apostolov                    ##   12, Botev Plovdiv 

 (7)  MF  Dinko Dermendzhiev                 ##    6, Botev Plovdiv 
 (8)  MF  Stoyan Kitov                       ##   18, Spartak Sofia 
(12)  MF  Vasil Metodiev                     ##   17, Lokomotiv Sofia 
(18)  MF  Evgeni Yanchovski                  ##    8, Beroe Stara Zagora 
(20)  MF  Ivan Davidov                       ##    0, Slavia Sofia 

 (6)  FW  Petar Zhekov                       ##    4, Beroe Stara Zagora 
 (9)  FW  Georgi Asparuhov                   ##   26, Levski Sofia 
(11)  FW  Ivan Kolev                         ##   67, CSKA Sofia 
(13)  FW  Dimitar Yakimov                    ##   34, CSKA Sofia 
(14)  FW  Nikola Kotkov                      ##   16, Lokomotiv Sofia 
(16)  FW  Aleksandar Kostov                  ##    7, Levski Sofia 
(17)  FW  Stefan Abadzhiev                   ##   25, Levski Sofia 


== Brazil (BRA)   # 22 players

 (1)  GK  Gilmar                             ##    -, Santos 
(12)  GK  Manga                              ##    -, Botafogo 

 (2)  DF  Djalma Santos                      ##    -, Palmeiras 
 (3)  DF  Fidélis                            ##    -, Bangu 
 (4)  DF  Bellini                            ##    -, São Paulo 
 (5)  DF  Brito                              ##    -, Vasco da Gama 
 (6)  DF  Altair                             ##    -, Fluminense 
 (7)  DF  Orlando                            ##    -, Santos 
 (8)  DF  Paulo Henrique                     ##    -, Flamengo 
 (9)  DF  Rildo                              ##    -, Botafogo 

(11)  MF  Gérson                             ##    -, Botafogo 
(13)  MF  Denílson                           ##    -, Fluminense 
(14)  MF  Lima                               ##    -, Santos 
(15)  MF  Zito                               ##    -, Santos 
(17)  MF  Jairzinho                          ##    -, Botafogo 
(20)  MF  Tostão                             ##    -, Cruzeiro 

(10)  FW  Pelé                               ##    -, Santos 
(16)  FW  Garrincha                          ##    -, Corinthians 
(18)  FW  Alcindo                            ##    -, Grêmio 
(19)  FW  Silva                              ##    -, Flamengo 
(21)  FW  Paraná                             ##    -, São Paulo 
(22)  FW  Edu                                ##    -, Santos 


== Switzerland (SUI)   # 22 players

 (1)  GK  Karl Elsener                       ##   32, Lausanne 
(12)  GK  Léo Eichmann                       ##    1, La Chaux-de-Fonds 
(22)  GK  Mario Prosperi                     ##    3, Lugano 

 (2)  DF  Willy Allemann                     ##    1, Grenchen 
 (3)  DF  Kurt Armbruster                    ##    3, Lausanne 
 (5)  DF  René Brodmann                      ##    3, Zürich 
(14)  DF  Werner Leimgruber                  ##    9, Zürich 
(18)  DF  Heinz Schneiter                    ##   43, Young Boys 
(20)  DF  Ely Tacchella                      ##   26, Lausanne 

