= World Cup 1970    # 16 Teams

== Belgium (BEL)   # 22 players

 (1)  GK  Christian Piot                     ##    2, Standard Liège 
(12)  GK  Jean-Marie Trappeniers             ##   15, Anderlecht 
(22)  GK  Jacques Duquesne                   ##    0, Olympic Charleroi 

 (2)  DF  Georges Heylens                    ##   48, Anderlecht 
 (3)  DF  Jean Thissen                       ##   12, Standard Liège 
 (4)  DF  Nicolas Dewalque                   ##   12, Standard Liège 
 (5)  DF  Léon Jeck                          ##   10, Standard Liège 
 (6)  DF  Jean Dockx                         ##   11, Anderlecht 
(13)  DF  Jacques Beurlet                    ##    7, Standard Liège 

 (7)  MF  Léon Semmeling                     ##   21, Standard Liège 
 (8)  MF  Wilfried Van Moer                  ##   16, Standard Liège 
(14)  MF  Maurice Martens                    ##    0, Anderlecht 
(15)  MF  Erwin Vandendaele                  ##    1, Club Brugge 
(16)  MF  Odilon Polleunis                   ##   12, St Truiden 
(17)  MF  Jan Verheyen                       ##   21, Beerschot 
(20)  MF  Alfons Peeters                     ##    6, Anderlecht 

 (9)  FW  Johan Devrindt                     ##   16, Anderlecht 
(10)  FW  Paul Van Himst                     ##   55, Anderlecht 
(11)  FW  Wilfried Puis                      ##   41, Anderlecht 
(18)  FW  Raoul Lambert                      ##    7, Club Brugge 
(19)  FW  Pierre Carteus                     ##    0, Club Brugge 
(21)  FW  Frans Janssens                     ##    0, Lierse 


== Bulgaria (BUL)   # 22 players

 (1)  GK  Simeon Simeonov                    ##   29, Slavia Sofia 
(13)  GK  Stoyan Yordanov                    ##    4, CSKA SZ Sofia 
(22)  GK  Georgi Kamenski                    ##    0, Levski-Spartak Sofia 

 (2)  DF  Aleksandar Shalamanov              ##   32, Slavia Sofia 
 (3)  DF  Ivan Dimitrov                      ##   68, Akademik Sofia 
 (4)  DF  Stefan Aladzhov                    ##    9, Levski-Spartak Sofia 
 (6)  DF  Dimitar Penev                      ##   46, CSKA SZ Sofia 
(12)  DF  Milko Gaydarski                    ##   12, Levski-Spartak Sofia 
(14)  DF  Dobromir Zhechev                   ##   41, Levski-Spartak Sofia 
(15)  DF  Boris Gaganelov                    ##   46, CSKA SZ Sofia 
(17)  DF  Todor Kolev                        ##    9, Slavia Sofia 

 (5)  MF  Ivan Davidov                       ##    7, Slavia Sofia 
(11)  MF  Dinko Dermendzhiev                 ##   35, Trakia Plovdiv 
(16)  MF  Asparuh Nikodimov                  ##   12, CSKA SZ Sofia 
(19)  MF  Georgi Asparuhov                   ##   47, Levski-Spartak Sofia 
(20)  MF  Vasil Mitkov                       ##    7, Levski-Spartak Sofia 

 (7)  FW  Georgi Popov                       ##   16, Trakia Plovdiv 
 (8)  FW  Hristo Bonev                       ##   24, Lokomotiv Plovdiv 
 (9)  FW  Petar Zhekov                       ##   23, CSKA SZ Sofia 
(10)  FW  Dimitar Yakimov                    ##   57, CSKA SZ Sofia 
(18)  FW  Dimitar Marashliev                 ##    6, CSKA SZ Sofia 
(21)  FW  Bozhidar Grigorov                  ##    0, Slavia Sofia 


== Brazil (BRA)   # 22 players

 (1)  GK  Félix                              ##   23, Fluminense 
(12)  GK  Ado                                ##    2, Corinthians 
(22)  GK  Leão                               ##    2, Palmeiras 

 (2)  DF  Brito                              ##   28, Flamengo 
 (4)  DF  Carlos Alberto                     ##   40, Santos 
 (6)  DF  Marco Antônio                      ##    7, Fluminense 
(14)  DF  Baldocchi                          ##    1, Palmeiras 
(15)  DF  Fontana                            ##    6, Cruzeiro 
(16)  DF  Everaldo                           ##    8, Grêmio 
(17)  DF  Joel                               ##   26, Santos 
(21)  DF  Zé Maria                           ##    1, Portuguesa 

 (3)  MF  Piazza                             ##   16, Cruzeiro 
 (5)  MF  Clodoaldo                          ##    7, Santos 
 (7)  MF  Jairzinho                          ##   45, Botafogo 
 (8)  MF  Gérson                             ##   54, São Paulo 
(11)  MF  Rivellino                          ##   21, Corinthians 
(18)  MF  Paulo Cézar                        ##   14, Botafogo 

 (9)  FW  Tostão                             ##   36, Cruzeiro 
(10)  FW  Pelé                               ##   81, Santos 
(13)  FW  Roberto                            ##    9, Botafogo 
(19)  FW  Edu                                ##   29, Santos 
(20)  FW  Dario                              ##    3, Atlético Mineiro 


== England (ENG)   # 22 players

 (1)  GK  Gordon Banks                       ##   59, Stoke City 
(12)  GK  Peter Bonetti                      ##    6, Chelsea 
(13)  GK  Alex Stepney                       ##    1, Manchester United 

 (2)  DF  Keith Newton                       ##   24, Everton 
 (3)  DF  Terry Cooper                       ##    8, Leeds United 
 (5)  DF  Brian Labone                       ##   23, Everton 
 (6)  DF  Bobby Moore                        ##   80, West Ham United 
(14)  DF  Tommy Wright                       ##    9, Everton 
(15)  DF  Nobby Stiles                       ##   28, Manchester United 
(17)  DF  Jack Charlton                      ##   34, Leeds United 
(18)  DF  Norman Hunter                      ##   13, Leeds United 

 (4)  MF  Alan Mullery                       ##   27, Tottenham Hotspur 
 (8)  MF  Alan Ball                          ##   41, Everton 
 (9)  MF  Bobby Charlton                     ##  102, Manchester United 
(11)  MF  Martin Peters                      ##   38, Tottenham Hotspur 
(16)  MF  Emlyn Hughes                       ##    6, Liverpool 
(19)  MF  Colin Bell                         ##   11, Manchester City 

 (7)  FW  Francis Lee                        ##   14, Manchester City 
(10)  FW  Geoff Hurst                        ##   38, West Ham United 
(20)  FW  Peter Osgood                       ##    1, Chelsea 
(21)  FW  Allan Clarke                       ##    0, Leeds United 
(22)  FW  Jeff Astle                         ##    3, West Bromwich Albion 


== West Germany (FRG)   # 22 players

 (1)  GK  Sepp Maier                         ##   19, Bayern Munich 
(21)  GK  Manfred Manglitz                   ##    4, FC Köln 
(22)  GK  Horst Wolter                       ##   12, Eintracht Braunschweig 

 (2)  DF  Horst-Dieter Höttges               ##   49, Werder Bremen 
 (3)  DF  Karl-Heinz Schnellinger            ##   41, AC Milan 
 (5)  DF  Willi Schulz                       ##   61, Hamburg 
 (7)  DF  Berti Vogts                        ##   24, Borussia M'gladbach 
(11)  DF  Klaus Fichtel                      ##   13, Schalke 04 
(15)  DF  Bernd Patzke                       ##   19, Hertha Berlin 
(18)  DF  Klaus-Dieter Sieloff               ##    9, Borussia M'gladbach 

 (4)  MF  Franz Beckenbauer                  ##   38, Bayern Munich 
 (6)  MF  Wolfgang Weber                     ##   37, FC Köln 
(12)  MF  Wolfgang Overath                   ##   49, FC Köln 
(16)  MF  Max Lorenz                         ##   19, Eintracht Braunschweig 
(19)  MF  Peter Dietrich                     ##    1, Borussia M'gladbach 

 (8)  FW  Helmut Haller                      ##   32, Juventus 
 (9)  FW  Uwe Seeler                         ##   65, Hamburg 
(10)  FW  Sigfried Held                      ##   27, Borussia Dortmund 
(13)  FW  Gerd Müller                        ##   19, Bayern Munich 
(14)  FW  Reinhard Libuda                    ##   15, Schalke 04 
(17)  FW  Hannes Löhr                        ##   13, FC Köln 
(20)  FW  Jürgen Grabowski                   ##    7, Eintracht Frankfurt 


== Israel (ISR)   # 22 players

 (1)  GK  Yitzchak Vissoker                  ##   17, Hapoel Petah Tikva 
(21)  GK  Yechiel Hameiri                    ##    1, Hapoel Haifa 
(22)  GK  Yair Nossovsky                     ##    3, Hapoel Kfar Saba 

 (2)  DF  Shraga Bar                         ##   13, Maccabi Netanya 
 (3)  DF  Menachem Bello                     ##   25, Maccabi Tel Aviv 
 (5)  DF  Zvi Rosen                          ##   16, Maccabi Tel Aviv 
 (6)  DF  Shmuel Rosenthal                   ##   23, Hapoel Petah Tikva 
(16)  DF  Yochanan Vollach                   ##    4, Hapoel Haifa 
(20)  DF  David Karako                       ##    6, Maccabi Tel Aviv 

 (4)  MF  David Primo                        ##   18, Hapoel Tel Aviv 
 (7)  MF  Itzhak Shum                        ##    8, Hapoel Kfar Saba 
(11)  MF  George Borba                       ##   10, Hapoel Tel Aviv 
(12)  MF  Yisha'ayahu Schwager               ##    6, Maccabi Haifa 
(14)  MF  Dani Shmulevich-Rom                ##   24, Maccabi Haifa 
(18)  MF  Moshe Romano                       ##    6, Shimshon Tel Aviv 
(19)  MF  Roni Shuruk                        ##    8, Hakoah Maccabi Ramat Gan 

 (8)  FW  Giora Spiegel                      ##   19, Maccabi Tel Aviv 
 (9)  FW  Yehoshua Feigenbaum                ##   15, Hapoel Tel Aviv 
(10)  FW  Mordechai Spiegler                 ##   36, Maccabi Netanya 
(13)  FW  Yechezekel Chazom                  ##    4, Hapoel Tel Aviv 
(15)  FW  Rachamim Talbi                     ##   25, Maccabi Tel Aviv 
(17)  FW  Eli Ben Rimoz                      ##    2, Hapoel Jerusalem 


== Italy (ITA)   # 22 players

 (1)  GK  Enrico Albertosi                   ##   21, Cagliari 
(12)  GK  Dino Zoff                          ##   10, Napoli 
(17)  GK  Lido Vieri                         ##    4, Internazionale 

 (2)  DF  Tarcisio Burgnich                  ##   33, Internazionale 
 (3)  DF  Giacinto Facchetti                 ##   46, Internazionale 
 (4)  DF  Fabrizio Poletti                   ##    4, Torino 
 (5)  DF  Pierluigi Cera                     ##    2, Cagliari 
