= World Cup 1978    # 16 Teams

== Argentina (ARG)   # 22 players

 (3)  GK  Héctor Baley                       ##    -, Huracán 
 (5)  GK  Ubaldo Fillol                      ##    -, River Plate 
(13)  GK  Ricardo La Volpe                   ##    -, San Lorenzo 

 (7)  DF  Luis Galván                        ##    -, Talleres de Córdoba 
(11)  DF  Daniel Killer                      ##    -, Racing Club 
(15)  DF  Jorge Olguín                       ##    -, San Lorenzo 
(18)  DF  Rubén Pagnanini                    ##    -, Independiente 
(19)  DF  Daniel Passarella                  ##    -, River Plate 
(20)  DF  Alberto Tarantini                  ##    -, Boca Juniors 

 (1)  MF  Norberto Alonso                    ##    -, River Plate 
 (2)  MF  Osvaldo Ardiles                    ##    -, Huracán 
 (4)  MF  Daniel Bertoni                     ##    -, Independiente 
 (6)  MF  Américo Gallego                    ##    -, Newell's Old Boys 
 (8)  MF  Rubén Galván                       ##    -, Independiente 
 (9)  MF  René Houseman                      ##    -, Huracán 
(12)  MF  Omar Larrosa                       ##    -, Independiente 
(16)  MF  Oscar Ortiz                        ##    -, River Plate 
(17)  MF  Miguel Oviedo                      ##    -, Talleres de Córdoba 
(21)  MF  José Daniel Valencia               ##    -, Talleres de Córdoba 
(22)  MF  Ricardo Villa                      ##    -, Racing Club 

(10)  FW  Mario Kempes                       ##    -, Valencia 
(14)  FW  Leopoldo Luque                     ##    -, River Plate 


== Austria (AUT)   # 22 players

 (1)  GK  Friedrich Koncilia                 ##   37, SSW Innsbruck 
(21)  GK  Erwin Fuchsbichler                 ##    2, VÖEST Linz 
(22)  GK  Hubert Baumgartner                 ##    1, Austria Wien 

 (2)  DF  Robert Sara                        ##   37, Austria Wien 
 (3)  DF  Erich Obermayer                    ##   10, Austria Wien 
 (4)  DF  Gerhard Breitenberger              ##   11, VÖEST Linz 
 (5)  DF  Bruno Pezzey                       ##   25, SSW Innsbruck 
(14)  DF  Heinrich Strasser                  ##   20, Admira/Wacker 
(15)  DF  Heribert Weber                     ##    7, SK Sturm Graz 
(16)  DF  Peter Persidis                     ##    7, Rapid Wien 

 (6)  MF  Roland Hattenberger                ##   23, VfB Stuttgart 
 (7)  MF  Josef Hickersberger                ##   33, Fortuna Düsseldorf 
 (8)  MF  Herbert Prohaska                   ##   27, Austria Wien 
(11)  MF  Kurt Jara                          ##   29, MSV Duisburg 
(12)  MF  Eduard Krieger                     ##   20, Club Brugge 
(13)  MF  Günther Happich                    ##    4, Wiener Sportclub 
(20)  MF  Ernst Baumeister                   ##    1, Austria Wien 

 (9)  FW  Hans Krankl                        ##   34, Rapid Wien 
(10)  FW  Wilhelm Kreuz                      ##   35, Feyenoord 
(17)  FW  Franz Oberacher                    ##    3, SSW Innsbruck 
(18)  FW  Walter Schachner                   ##    6, DSV Alpine Donawitz 
(19)  FW  Hans Pirkner                       ##   18, Austria Wien 


== Brazil (BRA)   # 22 players

 (1)  GK  Leão                               ##   50, Palmeiras 
(12)  GK  Carlos                             ##    0, Ponte Preta 
(22)  GK  Valdir Peres                       ##    5, São Paulo 

 (2)  DF  Toninho                            ##    4, Flamengo 
 (3)  DF  Oscar                              ##    4, Ponte Preta 
 (4)  DF  Amaral                             ##   22, Corinthians 
 (6)  DF  Edinho                             ##   12, Fluminense 
(13)  DF  Nelinho                            ##   13, Cruzeiro 
(14)  DF  Abel                               ##    1, Vasco da Gama 
(15)  DF  Polozzi                            ##    0, Ponte Preta 
(16)  DF  Rodrigues Neto                     ##    7, Botafogo 

 (5)  MF  Toninho Cerezo                     ##   16, Atlético Mineiro 
 (8)  MF  Zico                               ##   21, Flamengo 
(11)  MF  Dirceu                             ##   14, Vasco da Gama 
(17)  MF  Batista                            ##    4, Internacional 
(21)  MF  Chicão                             ##    5, São Paulo 

 (7)  FW  Zé Sérgio                          ##    2, São Paulo 
 (9)  FW  Reinaldo                           ##   12, Atlético Mineiro 
(10)  FW  Rivelino                           ##   88, Fluminense 
(18)  FW  Gil                                ##   22, Botafogo 
(19)  FW  Jorge Mendonça                     ##    0, Palmeiras 
(20)  FW  Roberto Dinamite                   ##   20, Vasco da Gama 


== Spain (ESP)   # 22 players

 (1)  GK  Luis Arconada                      ##    -, Real Sociedad 
(13)  GK  Miguel Ángel                       ##    -, Real Madrid 
(22)  GK  Urruti                             ##    -, RCD Español 

 (2)  DF  Antonio de la Cruz                 ##    -, FC Barcelona 
 (5)  DF  Migueli                            ##    -, FC Barcelona 
 (6)  DF  Antonio Biosca                     ##    -, Real Betis 
(16)  DF  Antonio Olmo                       ##    -, FC Barcelona 
(17)  DF  Marcelino                          ##    -, Atlético Madrid 
(18)  DF  Pirri                              ##    -, Real Madrid 

 (3)  MF  Francisco Javier Uría              ##    -, Sporting de Gijón 
 (4)  MF  Juan Manuel Asensi                 ##    -, FC Barcelona 
(11)  MF  Julio Cardeñosa                    ##    -, Real Betis 
(12)  MF  Antonio Guzmán                     ##    -, Rayo Vallecano 
(14)  MF  Eugenio Leal                       ##    -, Atlético Madrid 
(21)  MF  Isidoro San José                   ##    -, Real Madrid 

 (7)  FW  Dani                               ##    -, Athletic Bilbao 
 (8)  FW  Juanito                            ##    -, Real Madrid 
