= World Cup 1982    # 24 Teams

== Argentina (ARG)   # 22 players

 (2)  GK  Héctor Baley                       ##    -, Talleres de Córdoba 
 (7)  GK  Ubaldo Fillol                      ##    -, River Plate 
(16)  GK  Nery Pumpido                       ##    -, Veléz Sársfield 

 (8)  DF  Luis Galván                        ##    -, Talleres de Córdoba 
(13)  DF  Julio Olarticoechea                ##    -, River Plate 
(14)  DF  Jorge Olguín                       ##    -, Independiente 
(15)  DF  Daniel Passarella                  ##    -, River Plate 
(18)  DF  Alberto Tarantini                  ##    -, River Plate 
(19)  DF  Enzo Trossero                      ##    -, Independiente 
(22)  DF  José Van Tuyne                     ##    -, Racing 

 (1)  MF  Osvaldo Ardiles                    ##    -, Tottenham Hotspur 
 (3)  MF  Juan Barbas                        ##    -, Racing 
 (4)  MF  Daniel Bertoni                     ##    -, Fiorentina 
 (5)  MF  Gabriel Calderón                   ##    -, Independiente 
 (9)  MF  Américo Gallego                    ##    -, River Plate 
(10)  MF  Diego Maradona                     ##    -, Boca Juniors 
(12)  MF  Patricio Hernández                 ##    -, Estudiantes 
(21)  MF  José Daniel Valencia               ##    -, Talleres de Córdoba 

 (6)  FW  Ramón Díaz                         ##    -, River Plate 
(11)  FW  Mario Kempes                       ##    -, River Plate 
(17)  FW  Santiago Santamaría                ##    -, Newell's Old Boys 
(20)  FW  Jorge Valdano                      ##    -, Real Zaragoza 


== Austria (AUT)   # 22 players

 (1)  GK  Friedrich Koncilia                 ##   60, Austria Wien 
(21)  GK  Herbert Feurer                     ##    7, Rapid Wien 
(22)  GK  Klaus Lindenberger                 ##    1, Linzer ASK 

 (2)  DF  Bernd Krauss                       ##    5, Rapid Wien 
 (3)  DF  Erich Obermayer                    ##   35, Austria Wien 
 (4)  DF  Josef Degeorgi                     ##    3, Admira/Wacker 
 (5)  DF  Bruno Pezzey                       ##   53, Eintracht Frankfurt 
(14)  DF  Ernst Baumeister                   ##   11, Austria Wien 
(16)  DF  Gerald Messlender                  ##    0, Admira/Wacker 
(17)  DF  Johann Pregesbauer                 ##    4, Rapid Wien 
(19)  DF  Heribert Weber                     ##   27, Rapid Wien 

 (6)  MF  Roland Hattenberger                ##   47, SSW Innsbruck 
 (8)  MF  Herbert Prohaska                   ##   57, Inter Milan 
(10)  MF  Reinhold Hintermaier               ##   10, Nuremberg 
(12)  MF  Anton Pichler                      ##    5, Sturm Graz 
(15)  MF  Johann Dihanich                    ##    8, Austria Wien 

 (7)  FW  Walter Schachner                   ##   33, Cesena 
 (9)  FW  Hans Krankl                        ##   61, Rapid Wien 
(11)  FW  Kurt Jara                          ##   55, Grasshopper-Club 
(13)  FW  Max Hagmayr                        ##    6, VÖEST Linz 
(18)  FW  Gernot Jurtin                      ##    5, Sturm Graz 
(20)  FW  Kurt Welzl                         ##   19, Valencia 


== Belgium (BEL)   # 22 players

 (1)  GK  Jean-Marie Pfaff                   ##    -, Beveren 
(12)  GK  Theo Custers                       ##    -, Espanyol 
(22)  GK  Jacky Munaron                      ##    -, Anderlecht 

 (2)  DF  Eric Gerets                        ##    -, Standard Liège 
 (3)  DF  Luc Millecamps                     ##    -, K.S.V. Waregem 
 (4)  DF  Walter Meeuws                      ##    -, Standard Liège 
 (5)  DF  Michel Renquin                     ##    -, Anderlecht 
(14)  DF  Marc Baecke                        ##    -, Beveren 
(15)  DF  Maurits De Schrijver               ##    -, K.S.C. Lokeren 
(16)  DF  Gerard Plessers                    ##    -, Standard Liège 

 (6)  MF  Franky Vercauteren                 ##    -, Anderlecht 
 (7)  MF  Jos Daerden                        ##    -, Standard Liège 
 (8)  MF  Wilfried Van Moer                  ##    -, Beveren 
(10)  MF  Ludo Coeck                         ##    -, Anderlecht 
(11)  MF  Jan Ceulemans                      ##    -, Club Brugge 
(17)  MF  René Verheyen                      ##    -, K.S.C. Lokeren 
(18)  MF  Raymond Mommens                    ##    -, K.S.C. Lokeren 
(20)  MF  Guy Vandersmissen                  ##    -, Standard Liège 

 (9)  FW  Erwin Vandenbergh                  ##    -, Lierse 
(13)  FW  François Van Der Elst              ##    -, West Ham United 
(19)  FW  Marc Millecamps                    ##    -, K.S.V. Waregem 
(21)  FW  Alexandre Czerniatynski            ##    -, Antwerp 


== Brazil (BRA)   # 22 players

 (1)  GK  Valdir Peres                       ##   23, São Paulo 
(12)  GK  Paulo Sérgio                       ##    3, Botafogo 
(22)  GK  Carlos                             ##    6, Ponte Preta 

 (2)  DF  Leandro                            ##    6, Flamengo 
 (3)  DF  Oscar                              ##   36, São Paulo 
 (4)  DF  Luizinho                           ##   24, Atlético Mineiro 
 (6)  DF  Júnior                             ##   35, Flamengo 
(13)  DF  Edevaldo                           ##   17, Internacional 
(14)  DF  Juninho                            ##    4, Ponte Preta 
(16)  DF  Edinho                             ##   34, Fluminense 
(17)  DF  Pedrinho                           ##    8, Vasco da Gama 

 (5)  MF  Toninho Cerezo                     ##   49, Atlético Mineiro 
 (8)  MF  Sócrates                           ##   33, Corinthians 
(10)  MF  Zico                               ##   56, Flamengo 
(15)  MF  Falcão                             ##   17, Roma 
(18)  MF  Batista                            ##   32, Grêmio 
(19)  MF  Renato                             ##   13, São Paulo 
(21)  MF  Dirceu                             ##   23, Atlético Madrid 

 (7)  FW  Paulo Isidoro                      ##   28, Grêmio 
 (9)  FW  Serginho                           ##   15, São Paulo 
(11)  FW  Éder                               ##   24, Atlético Mineiro 
(20)  FW  Roberto Dinamite                   ##   32, Vasco da Gama 


== Chile (CHI)   # 22 players

 (1)  GK  Oscar Wirth                        ##    5, Cobreloa 
(12)  GK  Marco Cornez                       ##    0, Palestino 
(22)  GK  Mario Osbén                        ##   26, Colo-Colo 

 (2)  DF  Lizardo Garrido                    ##   15, Colo-Colo 
 (3)  DF  René Valenzuela                    ##   23, Universidad Católica 
 (4)  DF  Vladimir Bigorra                   ##   17, Universidad de Chile 
 (5)  DF  Elías Figueroa                     ##   44, Fort Lauderdale Strikers 
(17)  DF  Oscar Rojas                        ##    1, Colo-Colo 
(18)  DF  Mario Galindo                      ##   28, Colo-Colo 
(19)  DF  Enzo Escobar                       ##   26, Cobreloa 

 (6)  MF  Rodolfo Dubó                       ##   27, Palestino 
 (7)  MF  Eduardo Bonvallet                  ##   21, Universidad Católica 
 (8)  MF  Carlos Rivas                       ##   24, Colo-Colo 
(10)  MF  Mario Soto                         ##   34, Cobreloa 
(11)  MF  Gustavo Moscoso                    ##   18, Universidad Católica 
(14)  MF  Raúl Ormeño                        ##    1, Colo-Colo 
(16)  MF  Manuel Rojas                       ##   27, Universidad Católica 
(20)  MF  Miguel Ángel Neira                 ##   23, Universidad Católica 

 (9)  FW  Juan Carlos Letelier               ##    5, Cobreloa 
(13)  FW  Carlos Caszely                     ##   42, Colo-Colo 
(15)  FW  Patricio Yáñez                     ##   23, San Luis 
(21)  FW  Miguel Ángel Gamboa                ##   14, Universidad de Chile 


== Cameroon (CMR)   # 22 players

 (1)  GK  Thomas N'Kono                      ##    -, Canon Yaoundé 
(12)  GK  Joseph-Antoine Bell                ##    -, Africa Sports 
(22)  GK  Simon Tchobang                     ##    -,  

 (2)  DF  Michel Kaham                       ##    -, Stade Quimperois 
 (3)  DF  Edmond Enoka                       ##    -,  
 (4)  DF  René N'Djeya                       ##    -, Union Douala 
 (5)  DF  Elie Onana                         ##    -,  
(15)  DF  François N'Doumbé                  ##    -, Union Douala 
(16)  DF  Ibrahim Aoudou                     ##    -, Cannes 

 (6)  MF  Emmanuel Kundé                     ##    -, Canon Yaoundé 
 (7)  MF  Ephrem M'Bom                       ##    -, Canon Yaoundé 
 (8)  MF  Grégoire M'Bida                    ##    -, Canon Yaoundé 
(11)  MF  Charles Toubé                      ##    -, Tonnerre Yaoundé 
(14)  MF  Théophile Abega                    ##    -, Canon Yaoundé 
(17)  MF  Joseph Kamga                       ##    -, Union Douala 
(19)  MF  Joseph Enanga                      ##    -, Union Douala 

 (9)  FW  Roger Milla                        ##    -, Bastia 
(10)  FW  Jean-Pierre Tokoto                 ##    -, Jacksonville Tea Men (USA)
(13)  FW  Paul Bahoken                       ##    -, Cannes 
(18)  FW  Jacques N'Guea                     ##    -, Canon Yaoundé 
(20)  FW  Oscar Eyobo                        ##    -,  
(21)  FW  Ernest Ebongué                     ##    -, Tonnerre Yaoundé 


== Algeria (ALG)   # 22 players

 (1)  GK  Mehdi Cerbah                       ##    -, RS Kouba 
(21)  GK  Mourad Amara                       ##    -, JE Tizi-Ouzou 
(22)  GK  Yacine Bentalaa                    ##    -, MA Hussein Dey 

 (2)  DF  Mahmoud Guendouz                   ##    -, MA Hussein Dey 
 (3)  DF  Mustafa Kouici                     ##    -, MA Hussein Dey 
 (4)  DF  Nourredine Kourichi                ##    -, Girondins Bordeaux 
