= World Cup 1990    # 24 Teams

== United Arab Emirates (UAE)   # 22 players

 (1)  GK  Abdullah Musa                      ##    -, Al-Ahli 
(17)  GK  Muhsin Musabah                     ##    -, Sharjah 
(22)  GK  Abdulqadir Hassan                  ##    -, Al Shabab 

 (2)  DF  Khalil Ghanim                      ##    -, Al Khaleej Club 
 (4)  DF  Mubarak Ghanim                     ##    -, Al Khaleej Club 
 (6)  DF  Abdulrahman Mohamed                ##    -, Al-Nasr 
(15)  DF  Ibrahim Meer                       ##    -, Sharjah 
(16)  DF  Mohamed Salim                      ##    -, Al-Ahli 
(19)  DF  Eissa Meer                         ##    -, Sharjah 
(20)  DF  Yousuf Hussain                     ##    -, Sharjah 
(21)  DF  Abdulrahman Al-Haddad              ##    -, Sharjah 

 (3)  MF  Ali Thani Jumaa                    ##    -, Sharjah 
 (5)  MF  Abdualla Sultan                    ##    -, Al Khaleej Club 
 (8)  MF  Khalid Ismaïl                      ##    -, Al-Nasr 
(12)  MF  Hussain Ghuloum                    ##    -, Sharjah 
(13)  MF  Hassan Mohamed                     ##    -, Al-Wasl 
(14)  MF  Nasir Khamees                      ##    -, Al-Wasl 
(18)  MF  Fahad Abdulrahman                  ##    -, Al-Wasl 

 (7)  FW  Fahad Khamees                      ##    -, Al-Wasl 
 (9)  FW  Abdulaziz Mohamed                  ##    -, Sharjah 
(10)  FW  Adnan Al Talyani                   ##    -, Al Shaab 
(11)  FW  Zuhair Bakhit                      ##    -, Al-Wasl 


== Argentina (ARG)   # 22 players

 (1)  GK  Nery Pumpido                       ##    -, Real Betis 
(12)  GK  Sergio Goycochea                   ##    -, Millonarios 
(22)  GK  Fabián Cancelarich                 ##    -, Ferro Carril Oeste 

 (5)  DF  Edgardo Bauza                      ##    -, Veracruz 
(11)  DF  Néstor Fabbri                      ##    -, Racing 
(13)  DF  Néstor Lorenzo                     ##    -, Bari 
(15)  DF  Pedro Monzón                       ##    -, Independiente 
(16)  DF  Julio Olarticoechea                ##    -, Racing 
(17)  DF  Roberto Néstor Sensini             ##    -, Udinese 
(18)  DF  José Serrizuela                    ##    -, River Plate 
(19)  DF  Oscar Ruggeri                      ##    -, Real Madrid 
(20)  DF  Juan Simón                         ##    -, Boca Juniors 

 (2)  MF  Sergio Batista                     ##    -, River Plate 
 (4)  MF  José Basualdo                      ##    -, VfB Stuttgart 
 (6)  MF  Gabriel Calderón                   ##    -, Paris Saint-Germain 
 (7)  MF  Jorge Burruchaga                   ##    -, Nantes 
(10)  MF  Diego Maradona                     ##    -, Napoli 
(14)  MF  Ricardo Giusti                     ##    -, Independiente 
(21)  MF  Pedro Troglio                      ##    -, Lazio 

 (3)  FW  Abel Balbo                         ##    -, Udinese 
 (8)  FW  Claudio Caniggia                   ##    -, Atalanta 
 (9)  FW  Gustavo Dezotti                    ##    -, Cremonese 

##############################
# Argentina (ARG) Replacements 
#   - 1 players

 (1)  GK  Ángel Comizzo                      ##    -, River Plate 


== Austria (AUT)   # 22 players

 (1)  GK  Klaus Lindenberger                 ##    -, Swarovski Tirol 
(21)  GK  Michael Konsel                     ##    -, Rapid Vienna 
(22)  GK  Otto Konrad                        ##    -, Sturm Graz 

 (2)  DF  Ernst Aigner                       ##    -, Austria Vienna 
 (3)  DF  Robert Pecl                        ##    -, Rapid Vienna 
 (5)  DF  Peter Schöttel                     ##    -, Rapid Vienna 
 (8)  DF  Peter Artner                       ##    -, Admira Wacker 
