= World Cup 1994    # 24 Teams

== Argentina (ARG)   # 22 players

 (1)  GK  Sergio Goycochea                   ##    -, River Plate 
(12)  GK  Luis Islas                         ##    -, Independiente 
(22)  GK  Norberto Scoponi                   ##    -, Newell's Old Boys 

 (2)  DF  Sergio Vázquez                     ##    -, Universidad Católica 
 (3)  DF  José Chamot                        ##    -, Foggia 
 (4)  DF  Roberto Néstor Sensini             ##    -, Parma 
 (6)  DF  Oscar Ruggeri                      ##    -, San Lorenzo 
(13)  DF  Fernando Cáceres                   ##    -, Real Zaragoza 
(15)  DF  Jorge Borelli                      ##    -, Racing 
(16)  DF  Hernán Díaz                        ##    -, River Plate 

 (5)  MF  Fernando Redondo                   ##    -, Tenerife 
 (8)  MF  José Basualdo                      ##    -, Vélez Sársfield 
(10)  MF  Diego Maradona                     ##    -, Newell's Old Boys 
(14)  MF  Diego Simeone                      ##    -, Sevilla 
(17)  MF  Ariel Ortega                       ##    -, River Plate 
(18)  MF  Hugo Pérez                         ##    -, Independiente 
(20)  MF  Leonardo Rodríguez                 ##    -, Borussia Dortmund 
(21)  MF  Alejandro Mancuso                  ##    -, Boca Juniors 

 (7)  FW  Claudio Caniggia                   ##    -, Roma 
 (9)  FW  Gabriel Batistuta                  ##    -, Fiorentina 
(11)  FW  Ramón Medina Bello                 ##    -, Yokohama Marinos 
(19)  FW  Abel Balbo                         ##    -, Roma 


== Belgium (BEL)   # 22 players

 (1)  GK  Michel Preud'homme                 ##    -, KV Mechelen 
(12)  GK  Filip De Wilde                     ##    -, Anderlecht 
(20)  GK  Dany Verlinden                     ##    -, Club Brugge 

 (2)  DF  Dirk Medved                        ##    -, Club Brugge 
 (3)  DF  Vital Borkelmans                   ##    -, Club Brugge 
 (4)  DF  Philippe Albert                    ##    -, Anderlecht 
 (5)  DF  Rudi Smidts                        ##    -, Royal Antwerp 
 (6)  DF  Lorenzo Staelens                   ##    -, Club Brugge 
(13)  DF  Georges Grün                       ##    -, Parma 
(14)  DF  Michel De Wolf                     ##    -, Anderlecht 
(19)  DF  Eric Van Meir                      ##    -, Charleroi 
(22)  DF  Pascal Renier                      ##    -, Club Brugge 

 (7)  MF  Franky Van Der Elst                ##    -, Club Brugge 
(10)  MF  Enzo Scifo                         ##    -, AS Monaco 
(15)  MF  Marc Emmers                        ##    -, Anderlecht 
(16)  MF  Danny Boffin                       ##    -, Anderlecht 
(18)  MF  Marc Wilmots                       ##    -, Standard Liège 
(21)  MF  Stéphane Van Der Heyden            ##    -, Club Brugge 

 (8)  FW  Luc Nilis                          ##    -, Anderlecht 
 (9)  FW  Marc Degryse                       ##    -, Anderlecht 
(11)  FW  Alexandre Czerniatynski            ##    -, KV Mechelen 
(17)  FW  Josip Weber                        ##    -, Cercle Brugge 


== Bulgaria (BUL)   # 22 players

 (1)  GK  Borislav Mikhailov                 ##   66, Mulhouse 
(12)  GK  Plamen Nikolov                     ##    5, Levski Sofia 

 (2)  DF  Emil Kremenliev                    ##    7, Olympiacos 
 (3)  DF  Trifon Ivanov                      ##   39, Neuchâtel 
 (4)  DF  Tsanko Tsvetanov                   ##   16, Waldhof Mannheim 
 (5)  DF  Petar Houbchev                     ##   15, Hamburger SV 
(15)  DF  Nikolay Iliev                      ##   48, Rennes 
(16)  DF  Ilian Kiriakov                     ##   35, Merida 

 (6)  MF  Zlatko Yankov                      ##   31, Beşiktaş 
 (9)  MF  Yordan Letchkov                    ##   14, Hamburger SV 
(11)  MF  Daniel Borimirov                   ##    9, Munchen 1860 
(14)  MF  Boncho Genchev                     ##    4, Ipswich Town 
(19)  MF  Georgi Georgiev                    ##   10, Mulhouse 
(20)  MF  Krassimir Balakov                  ##   33, Sporting CP 

 (7)  FW  Emil Kostadinov                    ##   32, Porto 
 (8)  FW  Hristo Stoichkov                   ##   41, Barcelona 
(10)  FW  Nasko Sirakov                      ##   55, Zaragoza 
(13)  FW  Ivaylo Yordanov                    ##   10, Sporting CP 
(17)  FW  Petar Mihtarski                    ##    5, Pirin Blagoevgrad 
(18)  FW  Petar Aleksandrov                  ##   26, Aarau 
(21)  FW  Velko Yotov                        ##    6, Espanyol 
(22)  FW  Ivaylo Andonov                     ##    5, CSKA Sofia 


== Bolivia (BOL)   # 22 players

 (1)  GK  Carlos Trucco                      ##   44, Bolivar 
(12)  GK  Darío Rojas                        ##    -, Oriente Petrolero 
(19)  GK  Marcelo Torrico                    ##    -, The Strongest 

 (2)  DF  Juan Manuel Peña                   ##    -, Santa Fe 
 (3)  DF  Marco Sandy                        ##    -, Bolívar 
 (4)  DF  Miguel Rimba                       ##    -, Bolívar 
 (5)  DF  Gustavo Quinteros                  ##    -, The Strongest 
(13)  DF  Modesto Soruco                     ##    -, Once Caldas 
(16)  DF  Luis Cristaldo                     ##    -, Bolivar 
(17)  DF  Óscar Sánchez                      ##    -, The Strongest 

 (6)  MF  Carlos Borja                       ##    -, Bolívar 
 (7)  MF  Mario Pinedo                       ##    -, Oriente Petrolero 
 (8)  MF  José Milton Melgar                 ##    -, The Strongest 
(10)  MF  Marco Etcheverry                   ##    -, Colo Colo 
(14)  MF  Mauricio Ramos                     ##    -, Destroyers 
(15)  MF  Vladimir Soria                     ##    -, Bolívar 
(20)  MF  Ramiro Castillo                    ##    -, Platense 
(21)  MF  Erwin Sánchez                      ##    -, Boavista 
(22)  MF  Julio César Baldivieso             ##    -, Bolívar 

 (9)  FW  Álvaro Peña                        ##    -, Deportes Temuco 
(11)  FW  Jaime Moreno                       ##    -, Blooming 
(18)  FW  Luis Ramallo                       ##    -, Oriente Petrolero 


== Brazil (BRA)   # 22 players

 (1)  GK  Taffarel                           ##    -, Reggiana 
(12)  GK  Zetti                              ##    -, São Paulo 
(22)  GK  Gilmar                             ##    -, Flamengo 

 (2)  DF  Jorginho                           ##    -, Bayern Munich 
 (3)  DF  Ricardo Rocha                      ##    -, Vasco da Gama 
 (4)  DF  Ronaldão                           ##    -, Shimizu S-Pulse 
 (6)  DF  Branco                             ##    -, Fluminense 
(13)  DF  Aldair                             ##    -, Roma 
(14)  DF  Cafu                               ##    -, São Paulo 
(15)  DF  Márcio Santos                      ##    -, Bordeaux 

 (5)  MF  Mauro Silva                        ##    -, Deportivo La Coruña 
 (8)  MF  Dunga                              ##    -, VfB Stuttgart 
 (9)  MF  Zinho                              ##    -, Palmeiras 
(10)  MF  Raí                                ##    -, Paris Saint-Germain 
(16)  MF  Leonardo                           ##    -, São Paulo 
(17)  MF  Mazinho                            ##    -, Palmeiras 

 (7)  FW  Bebeto                             ##    -, Deportivo La Coruña 
(11)  FW  Romário                            ##    -, Barcelona 
(18)  FW  Paulo Sérgio                       ##    -, Bayer Leverkusen 
(19)  FW  Müller                             ##    -, São Paulo 
(20)  FW  Ronaldo                            ##    -, Cruzeiro 
(21)  FW  Viola                              ##    -, Corinthians 


== Switzerland (SUI)   # 22 players

 (1)  GK  Marco Pascolo                      ##   18, Servette 
(12)  GK  Stephan Lehmann                    ##    6, Sion 
(22)  GK  Martin Brunner                     ##   33, Grasshopper 

 (2)  DF  Marc Hottiger                      ##   41, Sion 
 (3)  DF  Yvan Quentin                       ##   14, Sion 
 (5)  DF  Alain Geiger                       ##   94, Sion 
 (8)  DF  Christophe Ohrel                   ##   28, Servette 
(13)  DF  André Egli                         ##   79, Servette 
(18)  DF  Martin Rueda                       ##    5, Lucerne 
(19)  DF  Jürg Studer                        ##    5, Zürich 

 (4)  MF  Dominique Herr                     ##   39, Sion 
 (7)  MF  Alain Sutter                       ##   46, 1. FC Nürnberg 
(10)  MF  Ciriaco Sforza                     ##   23, 1. FC Kaiserslautern 
(16)  MF  Thomas Bickel                      ##   41, Grasshopper 
(17)  MF  Sébastien Fournier                 ##    4, Sion 
(20)  MF  Patrick Sylvestre                  ##    9, Lausanne 
(21)  MF  Thomas Wyss                        ##    5, Aarau 

 (6)  FW  Georges Bregy                      ##   50, Young Boys 
 (9)  FW  Adrian Knup                        ##   34, VfB Stuttgart 
(11)  FW  Stéphane Chapuisat                 ##   36, Borussia Dortmund 
(14)  FW  Nestor Subiat                      ##    7, Lugano 
(15)  FW  Marco Grassi                       ##    9, Servette 


== Cameroon (CMR)   # 22 players

 (1)  GK  Joseph-Antoine Bell                ##    -, Saint-Étienne 
(21)  GK  Thomas N'Kono                      ##    -, CE L'Hospitalet 
(22)  GK  Jacques Songo'o                    ##    -, Metz 

 (2)  DF  André Kana-Biyik                   ##    -, Le Havre 
 (3)  DF  Rigobert Song                      ##    -, Tonnerre Yaounde 
 (4)  DF  Samuel Ekeme                       ##    -, Canon Yaounde 
 (5)  DF  Victor N'Dip                       ##    -, Olympic Mvolyé 
(13)  DF  Raymond Kalla                      ##    -, Canon Yaounde 
(14)  DF  Stephen Tataw                      ##    -, Olympic Mvolyé 
(15)  DF  Hans Agbo                          ##    -, Olympic Mvolyé 

 (6)  MF  Thomas Libiih                      ##    -, Ohud 
 (8)  MF  Emile M'Bouh                       ##    -, Nadi Qatar 
(11)  MF  Emmanuel Maboang                   ##    -, Rio Ave 
(12)  MF  Paul Loga                          ##    -, Prevoyance Yaounde 
(17)  MF  Marc-Vivien Foé                    ##    -, Canon Yaounde 
(18)  MF  Jean-Pierre Fiala                  ##    -, Canon Yaounde 

 (7)  FW  François Omam-Biyik                ##    -, Lens 
 (9)  FW  Roger Milla                        ##    -, Tonnerre Yaounde 
(10)  FW  Louis-Paul M'Fédé                  ##    -, Canon Yaounde 
(16)  FW  Alphonse Tchami                    ##    -, Odense 
(19)  FW  David Embé                         ##    -, Belenenses 
(20)  FW  Georges Mouyémé                    ##    -, Troyes 


== Colombia (COL)   # 22 players

 (1)  GK  Óscar Córdoba                      ##    -, América de Cali 
(12)  GK  Farid Mondragón                    ##    -, Argentinos Juniors 
(22)  GK  José María Pazo                    ##    -, Atlético Junior 

 (2)  DF  Andrés Escobar                     ##    -, Atlético Nacional 
 (3)  DF  Alexis Mendoza                     ##    -, Atlético Junior 
 (4)  DF  Luis Fernando Herrera              ##    -, Atlético Nacional 
(13)  DF  Néstor Ortiz                       ##    -, Once Caldas 
(15)  DF  Luis Carlos Perea                  ##    -, Atlético Junior 
(18)  DF  Óscar Cortés                       ##    -, Millonarios 
(20)  DF  Wilson Pérez                       ##    -, América de Cali 

 (5)  MF  Hernán Gaviria                     ##    -, Atlético Nacional 
 (6)  MF  Gabriel Gómez                      ##    -, Atlético Nacional 
 (8)  MF  John Harold Lozano                 ##    -, América de Cali 
(10)  MF  Carlos Valderrama                  ##    -, Atlético Junior 
(14)  MF  Leonel Álvarez                     ##    -, América de Cali 
(17)  MF  Mauricio Serna                     ##    -, Atlético Nacional 
(19)  MF  Freddy Rincón                      ##    -, Palmeiras 

 (7)  FW  Antony de Ávila                    ##    -, América de Cali 
 (9)  FW  Iván Valenciano                    ##    -, Atlético Junior 
