= World Cup 2002    # 32 Teams

== Argentina (ARG)   # 23 players

 (1)  GK  Germán Burgos                      ##   35, Atlético Madrid 
(12)  GK  Pablo Cavallero                    ##    8, Celta Vigo 
(23)  GK  Roberto Bonano                     ##   13, Barcelona 

 (2)  DF  Roberto Ayala                      ##   74, Valencia 
 (3)  DF  Juan Pablo Sorín                   ##   35, Cruzeiro 
 (4)  DF  Mauricio Pochettino                ##   16, Paris Saint-Germain 
 (6)  DF  Walter Samuel                      ##   30, Roma 
 (8)  DF  Javier Zanetti                     ##   66, Internazionale 
(13)  DF  Diego Placente                     ##    6, Bayer Leverkusen 
(22)  DF  José Chamot                        ##   42, Milan 

 (5)  MF  Matías Almeyda                     ##   33, Parma 
(10)  MF  Ariel Ortega                       ##   81, River Plate 
(11)  MF  Juan Sebastián Verón               ##   47, Manchester United 
(14)  MF  Diego Simeone                      ##  104, Lazio 
(15)  MF  Claudio Husaín                     ##   14, River Plate 
(16)  MF  Pablo Aimar                        ##   18, Valencia 
(17)  MF  Gustavo López                      ##   31, Celta Vigo 
(18)  MF  Kily González                      ##   30, Valencia 
(20)  MF  Marcelo Gallardo                   ##   42, AS Monaco 

 (7)  FW  Claudio López                      ##   49, Lazio 
 (9)  FW  Gabriel Batistuta                  ##   75, Roma 
(19)  FW  Hernán Crespo                      ##   33, Lazio 
(21)  FW  Claudio Caniggia                   ##   50, Rangers 


== Belgium (BEL)   # 23 players

 (1)  GK  Geert De Vlieger                   ##   25, Willem II 
(13)  GK  Franky Vandendriessche             ##    0, Mouscron 
(23)  GK  Frédéric Herpoel                   ##    7, Gent 

 (2)  DF  Eric Deflandre                     ##   41, Lyon 
 (3)  DF  Glen De Boeck                      ##   33, Anderlecht 
 (4)  DF  Eric Van Meir                      ##   32, Standard Liège 
 (5)  DF  Nico Van Kerckhoven                ##   40, Schalke 04 
(12)  DF  Peter Van Der Heyden               ##    4, Club Brugge 
(15)  DF  Jacky Peeters                      ##   13, Gent 
(16)  DF  Daniel Van Buyten                  ##    7, Marseille 

 (6)  MF  Timmy Simons                       ##   12, Club Brugge 
 (8)  MF  Bart Goor                          ##   38, Hertha BSC 
(10)  MF  Johan Walem                        ##   33, Standard Liège 
(11)  MF  Gert Verheyen                      ##   46, Club Brugge 
(14)  MF  Sven Vermant                       ##   12, Schalke 04 
(17)  MF  Gaëtan Englebert                   ##    4, Club Brugge 
(18)  MF  Yves Vanderhaeghe                  ##   30, Anderlecht 
(19)  MF  Bernd Thijs                        ##    2, Racing Genk 
(21)  MF  Danny Boffin                       ##   52, St. Truiden 

 (7)  FW  Marc Wilmots                       ##   66, Schalke 04 
 (9)  FW  Wesley Sonck                       ##   12, Racing Genk 
(20)  FW  Branko Strupar                     ##   14, Derby County 
(22)  FW  Mbo Mpenza                         ##   26, Mouscron 


== Brazil (BRA)   # 23 players

 (1)  GK  Marcos                             ##   15, Palmeiras 
(12)  GK  Dida                               ##   49, Corinthians 
(22)  GK  Rogério Ceni                       ##   12, São Paulo 

 (2)  DF  Cafu                               ##  103, Roma 
 (3)  DF  Lúcio                              ##   15, Bayer Leverkusen 
 (4)  DF  Roque Júnior                       ##   17, Milan 
 (5)  DF  Edmílson                           ##   12, Lyon 
 (6)  DF  Roberto Carlos                     ##   84, Real Madrid 
(13)  DF  Juliano Belletti                   ##   10, São Paulo 
(14)  DF  Ânderson Polga                     ##    5, Grêmio 
(16)  DF  Júnior                             ##   12, Parma 

 (7)  MF  Ricardinho                         ##    3, Corinthians 
 (8)  MF  Gilberto Silva                     ##    6, Atlético Mineiro 
(10)  MF  Rivaldo                            ##   58, Barcelona 
(11)  MF  Ronaldinho                         ##   24, Paris Saint-Germain 
(15)  MF  Kléberson                          ##    5, Atlético Paranaense 
(18)  MF  Vampeta                            ##   36, Corinthians 
(19)  MF  Juninho                            ##   43, Middlesbrough 
(23)  MF  Kaká                               ##    2, São Paulo 

 (9)  FW  Ronaldo                            ##   56, Internazionale 
(17)  FW  Denílson                           ##   53, Real Betis 
(20)  FW  Edílson                            ##   17, Cruzeiro 
(21)  FW  Luizão                             ##    8, Grêmio 


== Cameroon (CMR)   # 23 players

 (1)  GK  Alioum Boukar                      ##   46, Samsunspor 
(16)  GK  Jacques Songo'o                    ##   66, Metz 
(22)  GK  Idriss Carlos Kameni               ##    1, Le Havre 

 (3)  DF  Pierre Womé                        ##   46, Bologna 
 (4)  DF  Rigobert Song                      ##   59, 1. FC Köln 
 (5)  DF  Raymond Kalla                      ##   47, Extremadura 
 (6)  DF  Pierre Njanka                      ##   31, Strasbourg 
 (8)  DF  Geremi Njitap                      ##   38, Real Madrid 
(13)  DF  Lucien Mettomo                     ##   17, Manchester City 

 (2)  MF  Bill Tchato                        ##   12, Montpellier 
 (7)  MF  Joseph N'Do                        ##   16, Al-Khaleej 
(12)  MF  Lauren Etame Mayer                 ##   15, Arsenal 
