= World Cup 2006    # 32 Teams

== Angola (ANG)   # 23 players

 (1)  GK  João Ricardo                       ##   26, Moreirense 
(12)  GK  Lamá                               ##    9, Petro Atletico (ANG)
(22)  GK  Mário                              ##    1, InterClube (ANG)

 (2)  DF  Marco Airosa                       ##    2, Barreirense (POR)
 (3)  DF  Jamba                              ##   35, Aviação (ANG)
 (4)  DF  Lebo Lebo                          ##   15, Petro Atletico (ANG)
 (5)  DF  Kali                               ##   21, Barreirense (POR)
(15)  DF  Rui Marques                        ##    1, Leeds United (ENG)
(20)  DF  Locó                               ##   11, Primeiro Agosto (ANG)
(21)  DF  Delgado                            ##   17, Petro Atletico (ANG)
(23)  DF  Marco Abreu                        ##    3, Portimonense (POR)

 (6)  MF  Miloy                              ##   11, InterClube (ANG)
 (7)  MF  Figueiredo                         ##   22, Varzim (POR)
 (8)  MF  André                              ##   33, Al-Salmiya (KUW)
(13)  MF  Édson                              ##    7, Paços de Ferreira (POR)
(14)  MF  Mendonça                           ##   34, Varzim (POR)
(17)  MF  Zé Kalanga                         ##   23, Petro Atletico (ANG)

 (9)  FW  Mantorras                          ##   11, Benfica (POR)
(10)  FW  Akwá                               ##   77, Al-Wakra (QAT)
(11)  FW  Mateus                             ##    4, Gil Vicente (POR)
(16)  FW  Flávio                             ##   46, Al-Ahly (EGY)
(18)  FW  Love                               ##   35, Aviação (ANG)
(19)  FW  Titi Buengo                        ##    2, Clermont Foot (FRA)


== Argentina (ARG)   # 23 players

 (1)  GK  Roberto Abbondanzieri              ##   22, Boca Juniors (ARG)
(12)  GK  Leo Franco                         ##    3, Atlético Madrid (ESP)
(23)  GK  Óscar Ustari                       ##    0, Independiente (ARG)

 (2)  DF  Roberto Ayala                      ##  100, Valencia (ESP)
 (3)  DF  Juan Pablo Sorín                   ##   71, Villarreal (ESP)
 (4)  DF  Fabricio Coloccini                 ##   23, Deportivo La Coruña (ESP)
 (6)  DF  Gabriel Heinze                     ##   29, Manchester United (ENG)
(13)  DF  Lionel Scaloni                     ##    6, Deportivo La Coruña (ESP)
(15)  DF  Gabriel Milito                     ##   15, Real Zaragoza (ESP)
(17)  DF  Leandro Cufré                      ##    2, Roma (ITA)
(21)  DF  Nicolás Burdisso                   ##    8, Internazionale (ITA)

 (5)  MF  Esteban Cambiasso                  ##   22, Internazionale (ITA)
 (8)  MF  Javier Mascherano                  ##   15, Corinthians (BRA)
(10)  MF  Juan Román Riquelme                ##   31, Villarreal (ESP)
(16)  MF  Pablo Aimar                        ##   40, Valencia (ESP)
(18)  MF  Maxi Rodríguez                     ##   13, Atlético Madrid (ESP)
(22)  MF  Lucho González                     ##   27, Porto (POR)

 (7)  FW  Javier Saviola                     ##   31, Barcelona (ESP)
 (9)  FW  Hernán Crespo                      ##   55, Chelsea (ENG)
(11)  FW  Carlos Tevez                       ##   21, Corinthians (BRA)
(14)  FW  Rodrigo Palacio                    ##    2, Boca Juniors (ARG)
(19)  FW  Lionel Messi                       ##    7, Barcelona (ESP)
(20)  FW  Julio Cruz                         ##   15, Internazionale (ITA)


== Australia (AUS)   # 23 players

 (1)  GK  Mark Schwarzer                     ##   37, Middlesbrough (ENG)
(12)  GK  Ante Čović                         ##    1, Hammarby (SWE)
(18)  GK  Željko Kalac                       ##   52, Milan (ITA)

 (2)  DF  Lucas Neill                        ##   25, Blackburn Rovers (ENG)
 (3)  DF  Craig Moore                        ##   33, Newcastle United (ENG)
 (6)  DF  Tony Popovic                       ##   56, Crystal Palace (ENG)
 (7)  DF  Brett Emerton                      ##   48, Blackburn Rovers (ENG)
(11)  DF  Stan Lazaridis                     ##   59, Birmingham City (ENG)
(16)  DF  Michael Beauchamp                  ##    2, Central Coast Mariners (AUS)
(20)  DF  Luke Wilkshire                     ##    8, Bristol City (ENG)
(22)  DF  Mark Milligan                      ##    1, Sydney FC (AUS)

 (4)  MF  Tim Cahill                         ##   16, Everton (ENG)
 (5)  MF  Jason Čulina                       ##   13, PSV Eindhoven (NED)
 (8)  MF  Josip Skoko                        ##   46, Wigan Athletic (ENG)
(13)  MF  Vincenzo Grella                    ##   17, Parma (ITA)
(14)  MF  Scott Chipperfield                 ##   46, Basel (SUI)
(21)  MF  Mile Sterjovski                    ##   22, Basel (SUI)
(23)  MF  Mark Bresciano                     ##   24, Parma (ITA)

 (9)  FW  Mark Viduka                        ##   33, Middlesbrough (ENG)
(10)  FW  Harry Kewell                       ##   20, Liverpool (ENG)
(15)  FW  John Aloisi                        ##   41, Alavés (ESP)
(17)  FW  Archie Thompson                    ##   20, Melbourne Victory (AUS)
(19)  FW  Joshua Kennedy                     ##    1, Dynamo Dresden (GER)


== Brazil (BRA)   # 23 players

 (1)  GK  Dida                               ##   86, Milan (ITA)
(12)  GK  Rogério Ceni                       ##   15, São Paulo (BRA)
(22)  GK  Júlio César                        ##   11, Internazionale (ITA)

 (2)  DF  Cafu                               ##  138, Milan (ITA)
 (3)  DF  Lúcio                              ##   50, Bayern Munich (GER)
 (4)  DF  Juan                               ##   38, Bayer Leverkusen (GER)
 (6)  DF  Roberto Carlos                     ##  121, Real Madrid (ESP)
(13)  DF  Cicinho                            ##   10, Real Madrid (ESP)
(14)  DF  Luisão                             ##   19, Benfica (POR)
(15)  DF  Cris                               ##   16, Lyon (FRA)
(16)  DF  Gilberto                           ##    9, Hertha BSC (GER)

 (5)  MF  Emerson                            ##   70, Juventus (ITA)
 (8)  MF  Kaká                               ##   38, Milan (ITA)
(10)  MF  Ronaldinho                         ##   63, Barcelona (ESP)
(11)  MF  Zé Roberto                         ##   79, Bayern Munich (GER)
(17)  MF  Gilberto Silva                     ##   36, Arsenal (ENG)
(18)  MF  Mineiro                            ##    2, São Paulo (BRA)
(19)  MF  Juninho                            ##   37, Lyon (FRA)
(20)  MF  Ricardinho                         ##   19, Corinthians (BRA)

 (7)  FW  Adriano                            ##   32, Internazionale (ITA)
 (9)  FW  Ronaldo                            ##   92, Real Madrid (ESP)
(21)  FW  Fred                               ##    3, Lyon (FRA)
(23)  FW  Robinho                            ##   23, Real Madrid (ESP)


== Switzerland (SUI)   # 23 players

 (1)  GK  Pascal Zuberbühler                 ##   40, Basel (SUI)
(12)  GK  Diego Benaglio                     ##    1, Nacional (POR)
(21)  GK  Fabio Coltorti                     ##    2, Grasshopper (SUI)

 (3)  DF  Ludovic Magnin                     ##   30, Stuttgart (GER)
 (4)  DF  Philippe Senderos                  ##   12, Arsenal (ENG)
 (8)  DF  Raphaël Wicky                      ##   67, Hamburg (GER)
(13)  DF  Stéphane Grichting                 ##    6, Auxerre (FRA)
(17)  DF  Christoph Spycher                  ##   21, Eintracht Frankfurt (GER)
(20)  DF  Patrick Müller                     ##   64, Lyon (FRA)
(23)  DF  Philipp Degen                      ##   15, Borussia Dortmund (GER)

 (2)  MF  Johan Djourou                      ##    2, Arsenal (ENG)
 (5)  MF  Xavier Margairaz                   ##    3, Zürich (SUI)
 (6)  MF  Johann Vogel                       ##   85, Milan (ITA)
 (7)  MF  Ricardo Cabanas                    ##   37, Köln (GER)
(14)  MF  David Degen                        ##    3, Basel (SUI)
(15)  MF  Blerim Džemaili                    ##    3, Zürich (SUI)
(16)  MF  Tranquillo Barnetta                ##   13, Bayer Leverkusen (GER)
(19)  MF  Valon Behrami                      ##    6, Lazio (ITA)

 (9)  FW  Alexander Frei                     ##   45, Rennes (FRA)
(10)  FW  Daniel Gygax                       ##   22, Lille (FRA)
(11)  FW  Marco Streller                     ##   10, Köln (GER)
(18)  FW  Mauro Lustrinelli                  ##    5, Sparta Prague (CZE)
(22)  FW  Hakan Yakın                        ##   46, Young Boys (SUI)


== Côte d'Ivoire (CIV)   # 23 players

 (1)  GK  Jean-Jacques Tizié                 ##   24, Espérance (TUN)
(16)  GK  Gérard Gnanhouan                   ##    6, Montpellier (FRA)
(23)  GK  Boubacar Barry                     ##    6, Beveren (BEL)

 (3)  DF  Arthur Boka                        ##   23, Strasbourg (FRA)
 (4)  DF  Kolo Touré                         ##   42, Arsenal (ENG)
 (6)  DF  Blaise Kouassi                     ##   36, Troyes (FRA)
(12)  DF  Abdoulaye Méïté                    ##   18, Marseille (FRA)
(13)  DF  Marco Zoro                         ##   13, Messina (ITA)
(17)  DF  Cyril Domoraud                     ##   50, Créteil (FRA)
(20)  DF  Guy Demel                          ##    7, Hamburg (GER)
(21)  DF  Emmanuel Eboué                     ##   11, Arsenal (ENG)

