= World Cup 2010    # 32 Teams

== Argentina (ARG)   # 23 players

 (1)  GK  Diego Pozo                         ##    3, Colón (ARG)
(21)  GK  Mariano Andújar                    ##    4, Catania (ITA)
(22)  GK  Sergio Romero                      ##    5, AZ (NED)

 (2)  DF  Martín Demichelis                  ##   25, Bayern Munich (GER)
 (3)  DF  Clemente Rodríguez                 ##   11, Estudiantes (ARG)
 (4)  DF  Nicolás Burdisso                   ##   28, Roma (ITA)
 (6)  DF  Gabriel Heinze                     ##   63, Marseille (FRA)
(12)  DF  Ariel Garcé                        ##    3, Colón (ARG)
(13)  DF  Walter Samuel                      ##   54, Internazionale (ITA)
(15)  DF  Nicolás Otamendi                   ##    6, Vélez Sársfield (ARG)

 (5)  MF  Mario Bolatti                      ##    4, Fiorentina (ITA)
 (7)  MF  Ángel di María                     ##    7, Benfica (POR)
 (8)  MF  Juan Sebastián Verón               ##   69, Estudiantes (ARG)
(14)  MF  Javier Mascherano                  ##   56, Liverpool (ENG)
(17)  MF  Jonás Gutiérrez                    ##   15, Newcastle United (ENG)
(20)  MF  Maxi Rodríguez                     ##   35, Liverpool (ENG)
(23)  MF  Javier Pastore                     ##    0, Palermo (ITA)

 (9)  FW  Gonzalo Higuaín                    ##    4, Real Madrid (ESP)
(10)  FW  Lionel Messi                       ##   44, Barcelona (ESP)
(11)  FW  Carlos Tévez                       ##   51, Manchester City (ENG)
(16)  FW  Sergio Agüero                      ##   20, Atlético Madrid (ESP)
(18)  FW  Martín Palermo                     ##   14, Boca Juniors (ARG)
(19)  FW  Diego Milito                       ##   20, Internazionale (ITA)


== Australia (AUS)   # 23 players

 (1)  GK  Mark Schwarzer                     ##   75, Fulham (ENG)
(12)  GK  Adam Federici                      ##    1, Reading (ENG)
(18)  GK  Eugene Galeković                   ##    4, Adelaide United (AUS)

 (2)  DF  Lucas Neill                        ##   56, Galatasaray (TUR)
 (3)  DF  Craig Moore                        ##   50,  
 (6)  DF  Michael Beauchamp                  ##   21, Al-Jazira (UAE)
 (8)  DF  Luke Wilkshire                     ##   42, Dynamo Moscow (RUS)
(11)  DF  Scott Chipperfield                 ##   65, Basel (SUI)
(20)  DF  Mark Milligan                      ##   10, JEF United (JPN)
(21)  DF  David Carney                       ##   25, Twente (NED)

 (4)  MF  Tim Cahill                         ##   40, Everton (ENG)
 (5)  MF  Jason Čulina                       ##   49, Gold Coast United (AUS)
 (7)  MF  Brett Emerton                      ##   72, Blackburn Rovers (ENG)
(13)  MF  Vince Grella                       ##   45, Blackburn Rovers (ENG)
(15)  MF  Mile Jedinak                       ##   11, Antalyaspor (TUR)
(16)  MF  Carl Valeri                        ##   22, Sassuolo (ITA)
(19)  MF  Richard Garcia                     ##    7, Hull City (ENG)
(22)  MF  Dario Vidošić                      ##    7, MSV Duisburg (GER)
(23)  MF  Mark Bresciano                     ##   55, Palermo (ITA)

 (9)  FW  Joshua Kennedy                     ##   19, Nagoya Grampus (JPN)
(10)  FW  Harry Kewell                       ##   45, Galatasaray (TUR)
(14)  FW  Brett Holman                       ##   31, AZ (NED)
(17)  FW  Nikita Rukavytsya                  ##    3, Roeselare (BEL)


== Brazil (BRA)   # 23 players

 (1)  GK  Júlio César                        ##   47, Internazionale (ITA)
(12)  GK  Gomes                              ##    9, Tottenham Hotspur (ENG)
(22)  GK  Doni                               ##   10, Roma (ITA)

 (2)  DF  Maicon                             ##   56, Internazionale (ITA)
 (3)  DF  Lúcio                              ##   89, Internazionale (ITA)
 (4)  DF  Juan                               ##   73, Roma (ITA)
 (6)  DF  Michel Bastos                      ##    3, Lyon (FRA)
(13)  DF  Daniel Alves                       ##   33, Barcelona (ESP)
(14)  DF  Luisão                             ##   40, Benfica (POR)
(15)  DF  Thiago Silva                       ##    4, Milan (ITA)
(16)  DF  Gilberto                           ##   32, Cruzeiro (BRA)

 (5)  MF  Felipe Melo                        ##   16, Juventus (ITA)
 (7)  MF  Elano                              ##   41, Galatasaray (TUR)
 (8)  MF  Gilberto Silva                     ##   86, Panathinaikos (GRE)
(10)  MF  Kaká                               ##   76, Real Madrid (ESP)
(17)  MF  Josué                              ##   26, VfL Wolfsburg (GER)
(18)  MF  Ramires                            ##   11, Benfica (POR)
(19)  MF  Júlio Baptista                     ##   45, Roma (ITA)
(20)  MF  Kléberson                          ##   31, Flamengo (BRA)

 (9)  FW  Luís Fabiano                       ##   36, Sevilla (ESP)
(11)  FW  Robinho                            ##   73, Santos (BRA)
(21)  FW  Nilmar                             ##   15, Villarreal (ESP)
(23)  FW  Grafite                            ##    2, VfL Wolfsburg (GER)


== Switzerland (SUI)   # 23 players

 (1)  GK  Diego Benaglio                     ##   25, VfL Wolfsburg (GER)
(12)  GK  Marco Wölfli                       ##    4, Young Boys (SUI)
(21)  GK  Johnny Leoni                       ##    0, Zürich (SUI)

 (2)  DF  Stephan Lichtsteiner               ##   26, Lazio (ITA)
 (3)  DF  Ludovic Magnin                     ##   61, Zürich (SUI)
 (4)  DF  Philippe Senderos                  ##   38, Everton (ENG)
 (5)  DF  Steve von Bergen                   ##   10, Hertha BSC (GER)
(13)  DF  Stéphane Grichting                 ##   33, Auxerre (FRA)
(17)  DF  Reto Ziegler                       ##   10, Sampdoria (ITA)
(22)  DF  Mario Eggimann                     ##    8, Hannover 96 (GER)

 (6)  MF  Benjamin Huggel                    ##   36, Basel (SUI)
 (7)  MF  Tranquillo Barnetta                ##   50, Bayer Leverkusen (GER)
 (8)  MF  Gökhan Inler                       ##   34, Udinese (ITA)
(11)  MF  Valon Behrami                      ##   26, West Ham United (ENG)
(14)  MF  Marco Padalino                     ##    7, Sampdoria (ITA)
(15)  MF  Hakan Yakin                        ##   80, Luzern (SUI)
(16)  MF  Gelson Fernandes                   ##   22, Saint-Étienne (FRA)
(20)  MF  Pirmin Schwegler                   ##    3, Eintracht Frankfurt (GER)
(23)  MF  Xherdan Shaqiri                    ##    1, Basel (SUI)

 (9)  FW  Alexander Frei                     ##   73, Basel (SUI)
(10)  FW  Blaise Nkufo                       ##   29, Twente (NED)
(18)  FW  Albert Bunjaku                     ##    1, 1. FC Nürnberg (GER)
(19)  FW  Eren Derdiyok                      ##   19, Bayer Leverkusen (GER)


== Côte d'Ivoire (CIV)   # 23 players

